Kernel: patch_embed (patch_embed.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[93/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 0.526 ms / 2083 TFLOPS  (210 regs, 3.0s)
[94/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[95/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 0.527 ms / 2078 TFLOPS  (210 regs, 3.0s)
[96/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[97/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=0 ... 0.547 ms / 2002 TFLOPS  (208 regs, 2.9s)
[98/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[99/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=40 ... 0.546 ms / 2007 TFLOPS  (209 regs, 2.9s)
[100/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[101/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=60 ... 0.543 ms / 2016 TFLOPS  (209 regs, 2.9s)
[102/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[103/128] -DINTERLEAVE_STRATEGY=3 ... 0.546 ms / 2007 TFLOPS  (209 regs, 2.9s)
[104/128] -DINTERLEAVE_STRATEGY=3 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[105/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=100 ... 0.543 ms / 2018 TFLOPS  (209 regs, 3.0s)
[106/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[107/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=120 ... 0.546 ms / 2007 TFLOPS  (209 regs, 3.0s)
[108/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[109/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=160 ... 0.546 ms / 2007 TFLOPS  (209 regs, 2.9s)
[110/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[111/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=200 ... 0.548 ms / 1998 TFLOPS  (209 regs, 3.0s)
[112/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[113/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 0.548 ms / 1999 TFLOPS  (209 regs, 2.9s)
[114/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[115/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 0.546 ms / 2004 TFLOPS  (210 regs, 2.9s)
[116/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[117/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 0.545 ms / 2008 TFLOPS  (210 regs, 3.0s)
[118/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[119/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 ... 0.546 ms / 2006 TFLOPS  (210 regs, 2.9s)
[120/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[121/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 0.546 ms / 2006 TFLOPS  (210 regs, 3.0s)
[122/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[123/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 0.547 ms / 2000 TFLOPS  (210 regs, 2.9s)
[124/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[125/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 0.546 ms / 2006 TFLOPS  (210 regs, 2.9s)
[126/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[127/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 0.545 ms / 2010 TFLOPS  (210 regs, 2.9s)
[128/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)

Tier 2 winner: -DSTAGGER_CYCLES=120 → 0.526 ms / 2080 TFLOPS

=== Tier 3: PHASE1_UNROLL, SNAKE_ORDER, CVT_ADD_FUSED, K_LOOP_UNROLL, W0_LOOP_UNROLL, SUB_MMA_UNROLL ===
Sweep: 540 total, 540 valid, 0 pruned
Estimated time: ~45 min (540 configs × ~5s each)

[1/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 ... 0.669 ms / 1637 TFLOPS  (130 regs, 2.9s)
[2/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=1 ... 0.761 ms / 1439 TFLOPS  (111 regs, 2.8s)
[3/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DW0_LOOP_UNROLL=4 ... 0.665 ms / 1646 TFLOPS  (130 regs, 2.8s)
[4/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 ... 0.700 ms / 1565 TFLOPS  (126 regs, 2.9s)
[5/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=1 ... 0.796 ms / 1376 TFLOPS  (105 regs, 2.8s)
[6/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4 ... 0.695 ms / 1576 TFLOPS  (126 regs, 2.8s)
[7/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 ... 0.664 ms / 1648 TFLOPS  (130 regs, 2.9s)
[8/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=1 ... 0.772 ms / 1418 TFLOPS  (111 regs, 2.8s)
