
=== WALL TIME ===
label                                             ms    tflops  valid  regs  bars
cutlass_fc2_strip                               2.850          —      1.400          —
cublas_fc2_gemm                                 2.850          —      1.400          —
cublas_fc1_gemm                                 0.717          —      5.640          —

=== FULL METRICS: fc1 pk=p mode=fused ===
metric                 checkered            ck11             ck2             ck3             ck4             ck5             ck6             ck7             ck8         default            dg10            dg12            dg16            dg24            dg32             dg4             dg6         dgsnake       dgswizzle         hilbert        kstagger          ncycle           nflat           nlock          nsnake        rowmajor          zigzag          zorder
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
long_sb                    1.25M           1.28M           1.25M           1.26M           1.26M           1.25M           1.28M           1.28M           1.28M           1.17M           1.15M           1.15M           1.16M           1.15M           1.15M           1.15M           1.15M           1.14M           1.15M           1.27M           1.21M           1.17M           1.16M           1.30M           1.16M           1.18M           1.17M           1.27M
short_sb                  515.5K          414.1K          525.3K          512.0K          516.1K          515.4K          414.0K          414.2K          417.7K          393.1K          398.4K          398.3K          415.5K          424.7K          417.7K          409.0K          398.2K          374.5K          408.5K          419.0K          385.6K          384.3K          381.9K          477.7K          386.3K          390.4K          384.4K          411.0K
wait                       1.38M           1.22M           1.36M           1.37M           1.33M           1.38M           1.22M           1.22M           1.20M           1.13M           1.20M           1.20M           1.19M           1.17M           1.18M           1.19M           1.20M           1.19M           1.19M           1.40M           1.04M           1.13M           1.15M           1.28M           1.12M           1.14M           1.12M           1.40M
barrier                   589.1K          578.5K          591.0K          588.4K          589.8K          589.0K          578.7K          578.5K          581.1K          554.3K          555.9K          555.7K          551.7K          553.9K          554.6K          556.0K          555.7K          556.7K          556.0K          579.3K          540.7K          544.3K          548.6K          605.8K          542.6K          549.3K          546.4K          577.3K
sleeping                  145.5K          167.1K          145.8K          147.3K          147.9K          145.6K          167.0K          167.0K          165.4K          144.8K          149.7K          149.2K          145.6K          145.8K          148.3K          143.8K          149.0K          145.0K          143.2K          145.8K          136.0K          136.7K          136.2K          161.2K          133.1K          142.5K          143.7K          146.8K
not_selected              140.9K          130.2K          139.6K          139.3K          137.4K          141.5K          130.2K          130.0K          130.4K          124.6K          131.5K          131.2K          129.3K          124.2K          126.6K          128.4K          131.3K          133.0K          128.2K          140.9K          128.9K          121.0K          133.1K          124.0K          133.3K          116.5K          117.0K          142.0K
mio_thr                     5.6K            2.1K            5.8K            5.3K            5.3K            5.5K            2.2K            2.2K            1.8K          439.05            1.9K            1.9K            2.0K          975.06          823.76            1.2K            1.9K            1.9K            1.2K          429.73          347.47          474.31          487.57            3.3K          434.69          479.89          535.12          481.79
math_thr                   42.4K           36.1K           48.3K           42.2K           51.7K           42.4K           36.0K           36.0K           42.2K           39.2K           29.7K           29.7K           30.6K           34.1K           24.8K           30.9K           29.7K           30.9K           30.9K           40.6K           34.4K           41.5K           19.2K           54.1K           34.6K           26.7K           42.2K           36.4K
dram_rd_B                  1.10G           1.58G           1.13G           1.09G           1.08G           1.12G           1.62G           1.60G           1.58G           2.31G           1.14G           1.09G           1.17G           1.18G           1.30G           1.20G           1.11G           1.19G           1.28G           1.09G           2.26G         734.18M         718.55M           2.55G         738.44M           1.14G           1.13G           1.10G
dram_wr_B                  5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G           5.65G
