Kernel: fc1_gelu (fc1_gelu.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 ... 3.111 ms / 1408 TFLOPS  (204 regs, 6.9s)
[2/3] (defaults) ... 3.069 ms / 1427 TFLOPS  (242 regs, 5.8s)
[3/3] -DN_STAGES=5 ... 3.042 ms / 1440 TFLOPS  (238 regs, 5.9s)
  η²: N_STAGES=1.000

  Gap: 0.89% → k_eff=2 (from 3)

Tier 1 winner (top-3): -DK_LOOP_UNROLL=5 -DN_STAGES=5 → 3.042 ms / 1440 TFLOPS
  #2: (defaults) → 3.069 ms / 1427 TFLOPS
  #3: -DK_LOOP_UNROLL=3 -DN_STAGES=3 → 3.111 ms / 1408 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/2: -DN_STAGES=5
Sweep: 128 total, 64 valid, 64 pruned
Estimated time: ~5 min (64 configs × ~5s each)

[22/64] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 ... 2.952 ms / 1484 TFLOPS  (242 regs, 6.0s)
[23/64] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160 ... 2.909 ms / 1506 TFLOPS  (242 regs, 5.9s)
[24/64] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 ... 2.916 ms / 1502 TFLOPS  (242 regs, 5.9s)
[25/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 2.971 ms / 1474 TFLOPS  (241 regs, 5.9s)
[26/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 2.967 ms / 1476 TFLOPS  (240 regs, 5.9s)
[27/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 2.960 ms / 1480 TFLOPS  (240 regs, 6.0s)
[28/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 ... 2.937 ms / 1492 TFLOPS  (240 regs, 5.9s)
[29/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 2.903 ms / 1509 TFLOPS  (240 regs, 5.9s)
[30/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 2.897 ms / 1512 TFLOPS  (240 regs, 5.9s)
[31/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 2.882 ms / 1520 TFLOPS  (240 regs, 5.8s)
[32/64] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 2.895 ms / 1513 TFLOPS  (240 regs, 5.9s)
[33/64] -DSTAGGER_CYCLES=0 ... 3.078 ms / 1423 TFLOPS  (242 regs, 5.9s)
